229	232	17
107	48	33
214	33	0
163	193	201
94	33	84
119	114	99
232	191	186
0	91	153
160	229	206
242	206	104
224	140	178
168	0	122
0	158	15
112	20	122
112	147	2
109	135	168
0	79	66
175	137	112
0	68	89
30	122	109
188	94	30
0	79	109
198	198	153
188	56	119
165	186	224
0	45	71
0	140	178
140	175	173
89	61	43
147	66	102
252	191	73
224	237	68
153	229	178
160	0	84
249	96	58
239	204	206
249	147	196
132	130	5
86	142	20
252	181	20
237	160	79
68	35	94
188	165	158
96	94	17
38	15	84
89	17	142
135	221	209
86	0	140
117	56	2
211	183	204
198	181	196
201	206	196
135	43	147
153	33	53
226	214	181
252	201	99
150	216	175
188	226	206
0	109	117
247	211	181
244	196	160
96	142	58
226	204	211
237	79	175
216	181	17
158	153	89
124	81	61
224	226	12
89	63	61
135	96	40
68	79	81
204	193	198
214	229	66
0	104	84
0	155	132
142	71	73
158	145	198
160	145	81
73	61	99
214	204	175
0	140	130
252	158	73
158	107	5
117	84	38
173	0	117
163	158	140
45	0	142
142	104	119
186	170	158
221	206	17
0	73	63
237	160	211
211	191	17
196	214	214
163	38	56
0	153	181
242	186	191
170	196	191
175	188	191
0	107	119
209	22	0
249	158	163
0	130	155
132	153	165
186	216	10
155	79	25
127	56	58
186	234	214
209	226	211
216	181	150
135	0	91
130	117	15
51	86	135
224	219	181
181	84	0
140	214	0
198	204	186
224	206	224
130	117	102
255	216	127
239	153	163
0	137	175
140	112	107
226	191	155
198	147	10
224	204	186
211	107	158
237	214	214
0	178	140
249	191	193
114	0	130
211	183	163
81	38	84
196	204	204
216	221	181
147	51	17
0	135	81
33	91	51
170	71	186
0	73	79
84	104	86
107	201	219
53	0	109
163	5	127
81	181	224
7	109	84
114	81	188
196	216	226
58	86	79
163	130	5
35	68	53
181	140	178
73	48	173
214	214	198
198	170	219
249	221	214
56	25	122
127	214	219
193	168	117
0	183	96
198	160	12
137	119	25
239	198	211
112	91	10
96	51	17
237	158	132
226	204	186
255	216	22
112	63	175
242	239	135
79	33	112
226	216	191
76	20	94
96	51	10
221	89	0
81	45	68
0	175	153
86	214	201
214	40	40
147	221	219
170	221	150
0	104	71
232	178	130
0	86	91
183	114	142
0	181	155
66	71	22
53	63	91
234	178	178
226	61	40
249	130	127
249	165	140
109	51	43
0	170	158
173	0	91
168	147	173
252	209	22
102	73	117
249	214	22
114	94	38
201	137	158
0	63	119
91	119	204
204	173	175
249	86	2
252	127	63
155	158	114
181	226	191
0	165	219
247	191	191
0	132	142
91	38	38
209	68	20
244	107	175
53	38	79
255	204	30
117	112	43
130	12	142
204	2	86
214	0	158
255	211	170
204	229	214
244	198	201
216	168	216
20	22	84
219	168	165
153	89	5
178	102	132
252	158	112
191	145	12
237	114	170
150	140	40
12	56	68
112	53	114
158	196	0
0	122	61
124	45	35
242	196	175
147	183	209
99	58	17
153	214	221
206	193	181
124	30	63
28	20	107
107	94	79
145	150	147
5	112	94
0	153	68
255	214	155
221	204	165
249	226	76
175	188	219
178	130	96
244	188	191
0	198	178
73	53	51
198	135	209
204	0	160
201	140	140
249	79	142
247	232	170
